Table 3.1. Government Current Receipts and Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1969 To 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published February 26, 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created 2/26/2016 9:31:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,  Net investment \7\,M318291,6.2,3.7,0.5,-0.7,0.1,-0.5,0.8,3.8,5.4,6.0,9.9,11.7,14.1,16.7,21.5,27.1,37.4,41.1,44.8,35.0,28.7,27.2,21.6,14.8,8.3,-1.1,-3.3,-2.6,-9.7,-6.5,-4.1,-2.9,-1.5,12.0,24.4,30.0,34.3,36.2,38.7,44.8,50.7,52.9,45.5,26.4,5.0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,  Capital transfers paid \8\,M318301,6.1,5.6,5.5,5.8,6.4,7.1,8.3,10.0,11.4,11.4,13.6,16.2,16.6,14.9,15.3,17.0,18.9,20.9,19.0,19.6,19.7,20.8,21.5,21.9,23.4,24.5,27.4,27.9,29.1,28.3,31.7,35.7,41.6,45.5,46.2,47.3,65.6,52.3,53.6,59.7,236.7,143.3,102.5,98.5,83.4,72.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,  Financial transactions,M318311,3.2,3.6,2.4,3.5,1.1,4.8,11.4,10.9,12.3,20.5,20.0,25.1,30.7,28.6,15.5,13.6,29.5,14.1,1.6,11.8,23.2,55.8,80.0,9.3,-21.9,-4.1,-8.3,-0.2,7.9,8.2,7.5,12.5,7.9,10.7,9.4,2.9,0.8,7.5,10.3,61.5,514.6,40.0,-21.5,125.0,140.4,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,    Loan disbursements less loan repayments and sales,M318321,3.2,3.6,2.4,3.2,1.2,4.8,11.7,10.8,12.6,21.2,20.1,25.6,29.4,26.6,19.4,15.5,25.9,12.5,-0.2,-0.1,12.0,5.4,12.7,4.4,4.8,0.4,11.8,12.8,21.3,13.5,20.2,12.7,17.2,16.7,14.9,12.0,7.2,16.1,18.7,37.2,322.0,144.6,16.8,124.0,154.5,133.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,    Deposit insurance,B1069C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.3,1.5,2.3,0.7,-3.8,-1.7,1.6,23.8,57.9,69.6,5.5,-22.8,-2.0,-14.8,-7.8,-9.8,-3.1,-3.2,-2.1,-0.8,0.7,0.9,0.2,0.5,1.2,0.8,22.5,33.8,29.4,1.2,5.1,-0.6,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,    Net purchases of foreign currency,M318341,0.3,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,    Other,M318351,-0.3,-0.3,-0.3,0.1,0.0,0.0,-0.3,0.1,-0.3,-0.6,-0.2,-0.5,0.4,0.7,-5.4,-4.1,2.9,5.4,3.5,10.2,-12.6,-7.5,-2.4,-0.5,-3.8,-2.5,-5.3,-5.2,-3.6,-2.2,-9.5,1.9,-8.5,-6.8,-6.4,-9.4,-6.9,-9.8,-9.2,1.9,158.8,-134.1,-39.5,-4.2,-13.5,-36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,  Net purchases of nonproduced assets,M318361,-0.1,-0.1,-0.7,0.2,-2.4,-6.0,-1.6,-1.0,-1.4,-0.9,-1.5,-2.4,-7.7,-2.2,-7.4,-3.4,-1.7,-1.9,-1.4,-0.1,-0.8,-1.0,0.1,0.2,0.2,0.1,-7.8,-1.0,-12.2,-6.2,-1.5,-0.6,-1.6,-0.1,-1.0,-0.6,-2.1,-1.8,-14.9,-11.9,-18.4,-1.2,-0.7,-1.3,-3.1,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,  Other \9\,M318391,0.0,0.1,-0.3,0.0,-0.1,-0.9,0.0,0.1,0.3,0.2,0.7,0.6,0.2,-0.2,0.4,0.7,0.6,0.6,0.6,0.5,1.0,0.9,0.5,-0.1,0.2,0.5,0.4,0.4,0.4,0.4,0.5,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.7,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Less: Netting and grossing differences,M318401,-3.9,-3.7,-2.9,-4.0,-4.1,-3.1,-4.4,-6.0,-8.7,-8.9,-12.4,-14.1,-19.1,-29.8,-31.9,-36.4,-42.1,-46.1,-44.3,-48.6,-53.4,-50.5,-62.9,-63.1,-70.8,-70.1,-71.1,-73.3,-80.8,-78.4,-78.1,-83.6,-81.7,-91.7,-96.0,-103.8,-110.4,-124.3,-135.2,-214.7,-182.3,-262.4,-232.5,-189.4,-264.6,-257.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,  Supplementary medical insurance premiums,M318411,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20.0,-20.4,-20.7,-21.6,-21.9,-23.8,-26.0,-28.4,-32.1,-38.2,-45.1,-50.2,-54.2,-57.0,-60.7,-63.1,-64.5,-68.6,-72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,  Interest receipts,W706MC1,-2.5,-2.5,-2.7,-3.0,-3.1,-3.0,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11.0,-14.4,-15.3,-16.6,-17.6,-22.3,-17.3,-18.4,-16.7,-16.4,-22.3,-17.4,-15.1,-11.6,-11.7,-13.9,-12.1,-11.7,-12.4,-13.6,-11.4,-11.4,-11.3,-10.0,-10.2,-10.8,-12.1,-12.1,-29.2,-38.9,-41.9,-37.9,-114.5,-92.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,  Current surplus of government enterprises,W707MC1,1.1,1.8,2.7,2.6,2.7,3.6,3.8,3.8,3.3,3.4,2.4,3.4,3.3,2.0,1.9,2.5,2.2,0.6,0.4,-0.4,-1.8,2.1,-0.9,-2.9,-5.2,-3.4,-5.5,-4.2,-6.2,-7.4,-7.6,-6.5,-1.9,-5.8,-6.8,-6.2,-0.8,-1.4,-2.5,-1.0,-1.1,1.6,7.1,7.8,11.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,  Other \4\,M318431,-2.6,-3.0,-3.0,-3.6,-3.7,-3.7,-4.8,-5.7,-7.2,-6.6,-7.6,-9.1,-11.3,-13.5,-14.2,-17.4,-21.1,-18.6,-20.8,-21.0,-23.3,-24.7,-27.4,-29.5,-35.2,-37.3,-33.7,-35.1,-42.1,-38.6,-36.6,-41.6,-44.6,-48.6,-49.5,-55.4,-61.2,-66.9,-70.4,-147.4,-95.0,-164.5,-134.5,-94.9,-93.3,-103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Plus: Timing differences,M318441,-0.8,-0.2,-0.1,-0.6,2.9,-0.2,-0.6,1.1,1.9,1.6,3.1,-1.8,-1.1,-1.9,-0.3,3.4,0.0,-1.8,10.5,-0.1,-2.3,9.1,1.2,-2.2,2.9,-4.2,5.7,12.4,-4.1,-0.8,0.6,-11.5,7.9,-7.0,3.0,13.7,9.4,-7.1,13.6,12.4,-4.2,-3.5,-27.4,116.8,82.2,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,  Purchases (increase in payables net of advances),M318451,-1.3,-0.5,-0.4,-1.1,2.7,-1.1,-0.6,0.9,1.5,0.7,1.7,-1.9,-0.4,-2.0,-1.4,0.1,-0.9,0.1,5.8,3.8,-3.9,3.9,3.7,-1.5,2.2,0.4,4.6,7.4,-0.7,0.3,1.1,-2.7,0.4,-2.7,-1.1,-0.4,-2.7,1.0,5.7,-0.3,-2.2,-1.8,-1.3,7.7,4.8,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,  Interest payments,M318461,0.1,0.0,0.0,-0.1,0.0,-0.1,0.0,-0.1,-0.2,-0.3,-0.5,-0.7,-0.9,-1.1,-0.8,-1.3,-1.2,-1.7,0.9,-1.6,-0.8,-1.3,-4.5,-1.5,1.5,1.3,0.1,0.6,-1.1,-1.5,-0.3,-1.5,0.2,-0.8,0.0,-1.3,-1.8,-2.5,3.6,-2.8,0.5,-2.4,-0.3,0.4,-0.5,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,  Current transfer payments,M318471,0.1,0.3,0.2,0.3,0.5,0.9,-0.4,0.3,0.6,0.7,1.6,0.6,0.4,0.6,0.5,3.1,0.0,0.1,2.6,-1.2,1.4,2.9,0.2,1.9,0.5,-3.8,-0.6,2.7,-1.2,-1.1,-1.9,-6.1,5.0,0.4,2.7,13.3,-4.7,9.8,3.7,13.1,1.7,2.6,-24.1,105.3,83.8,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,  Other \10\,W708MC1,0.3,0.0,0.1,0.3,-0.3,0.0,0.4,0.0,0.0,0.5,0.4,0.1,-0.2,0.6,1.4,1.5,2.2,-0.3,1.3,-1.0,1.1,3.5,1.8,-1.2,-1.2,-2.2,1.7,1.6,-1.1,1.6,1.7,-1.4,2.4,-4.0,1.4,2.0,18.7,-15.3,0.5,2.4,-4.3,-1.8,-1.8,3.4,-5.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Equals: Federal government current expenditures, NIPAs",M318491,189.6,208.0,232.4,254.2,279.0,299.5,348.4,387.9,425.7,471.6,518.1,595.0,686.8,760.3,839.9,885.6,957.6,"1,018.5","1,049.7","1,101.6","1,182.5","1,267.6","1,326.0","1,460.4","1,534.5","1,572.3","1,649.8","1,694.3","1,744.0","1,779.2","1,824.3","1,896.6","1,992.0","2,106.2","2,254.5","2,402.2","2,564.1","2,738.3","2,883.3","3,169.6","3,384.3","3,715.8","3,832.3","3,779.4","3,796.0","3,863.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,      Net federal government saving, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Budget surplus or deficit (-) (1-19),M318501,3.2,-2.8,-23.0,-23.2,-14.3,-3.5,-43.6,-65.6,-45.0,-48.8,-27.3,-59.0,-57.9,-110.7,-195.4,-178.2,-203.2,-221.1,-148.4,-154.3,-153.3,-220.5,-269.5,-290.3,-254.6,-203.2,-164.0,-107.4,-21.9,69.3,125.6,236.2,128.2,-157.8,-377.6,-412.7,-318.3,-248.2,-160.7,-458.5,"-1,412.7","-1,294.4","-1,299.6","-1,087.0",-679.5,-484.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Plus: Net investment (28),M318291,6.2,3.7,0.5,-0.7,0.1,-0.5,0.8,3.8,5.4,6.0,9.9,11.7,14.1,16.7,21.5,27.1,37.4,41.1,44.8,35.0,28.7,27.2,21.6,14.8,8.3,-1.1,-3.3,-2.6,-9.7,-6.5,-4.1,-2.9,-1.5,12.0,24.4,30.0,34.3,36.2,38.7,44.8,50.7,52.9,45.5,26.4,5.0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Less: Net capital transfers received (4-29),M318521,-2.6,-2.0,-1.8,-0.4,-1.4,-2.1,-3.7,-4.8,-4.1,-6.2,-8.2,-9.8,-9.9,-7.1,-9.3,-11.1,-12.7,-14.1,-11.7,-12.3,-11.1,-9.5,-10.6,-10.9,-11.0,-9.4,-12.8,-10.9,-9.4,-4.4,-4.0,-6.9,-13.3,-19.2,-24.5,-22.6,-41.1,-24.6,-27.7,-31.1,-213.4,-125.1,-95.2,-84.6,-64.6,-53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Less: Federal employee retirement plans (3-21),M318531,16.5,20.0,23.9,25.6,26.4,26.5,25.8,25.6,27.0,31.4,33.0,32.5,31.7,33.7,34.0,37.3,59.4,61.3,60.4,61.6,63.5,64.1,66.1,68.6,67.7,66.3,66.3,65.9,66.2,68.2,70.0,71.4,72.5,73.1,81.1,83.8,87.4,87.2,87.0,92.3,79.6,89.9,101.7,98.8,95.4,95.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Less: Other coverage differences (5+6-26-27-30-35-36),M318541,-0.7,-0.8,2.2,0.8,7.8,10.6,6.1,6.6,6.2,-0.2,3.5,2.9,11.8,6.9,19.0,14.9,-19.3,-9.1,0.9,-11.2,-22.7,-54.9,-80.0,-7.9,20.7,6.4,19.8,13.3,25.1,10.2,9.9,6.8,16.6,5.5,-4.4,-3.2,-3.3,-20.6,23.0,-15.2,-91.1,119.1,84.1,-23.4,1.4,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Less: Timing differences (42-12),M318551,0.5,2.7,0.1,-0.9,0.5,-1.6,3.0,-5.2,1.4,-1.9,-0.8,3.1,5.7,6.5,-7.7,-4.1,0.7,-4.0,10.5,0.4,-5.9,6.5,-0.8,-1.4,1.1,-6.4,4.0,11.0,-9.5,-1.4,4.8,2.2,2.0,11.8,-20.8,-14.6,-23.7,-19.7,28.5,74.8,-4.6,16.7,-85.0,82.4,36.2,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Equals: Federal government saving, national income and product accounts (18-47)",M318561,-4.2,-19.0,-46.9,-49.1,-47.4,-37.5,-74.1,-83.9,-70.2,-65.9,-44.8,-75.9,-83.2,-133.9,-209.8,-188.1,-193.9,-214.1,-163.7,-157.7,-148.5,-199.4,-222.6,-323.9,-324.8,-261.3,-244.6,-189.4,-103.9,-9.8,40.8,159.8,49.0,-216.9,-384.6,-426.1,-303.4,-234.3,-232.7,-534.5,"-1,132.5","-1,342.1","-1,259.6","-1,133.7",-743.0,-617.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. In the NIPAs, pension plans are treated as 'pass-through' institutions that hold financial assets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"on behalf of households, which are the effective owners. Pension plans are classified as financial corporations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that receive contributions and property income on behalf of plan participants but do not have saving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
or net worth of their own. Table 7.23 shows transactions of the federal government defined-benefit pension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
subsectors. Contributions for publicly administered insurance funds are transactions with the household,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sector and include the Medicare-eligible Retiree Health Care Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Consists of estate and gift taxes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
